sep=;
Time;95th;50th;25th
2017-04-30T20:14:00.000Z;214840519;77911461;33098243
2017-04-30T20:15:00.000Z;204711849;75087051;29901640
2017-04-30T20:16:00.000Z;null;null;null
2017-04-30T20:17:00.000Z;65897568;9741706;6142050
2017-04-30T20:18:00.000Z;100792025;14227041;6720623
2017-04-30T20:19:00.000Z;111391611;22870730;14322506
2017-04-30T20:20:00.000Z;91943456;20008229;14515309
2017-04-30T20:21:00.000Z;95523407;15653382;9794323
2017-04-30T20:22:00.000Z;90749192;19057095;12785938
2017-04-30T20:23:00.000Z;93310665;16123085;6669056
2017-04-30T20:24:00.000Z;96762023;15245856;11302409
2017-04-30T20:25:00.000Z;86357891;17924018;12343735
2017-04-30T20:26:00.000Z;81301595;13343565;7715541
2017-04-30T20:27:00.000Z;87518788;16269173;12091131
2017-04-30T20:28:00.000Z;95137705;19353264;15101546
2017-04-30T20:29:00.000Z;83527159;13650444;7414484
2017-04-30T20:30:00.000Z;72271965;14643923;9854979
2017-04-30T20:31:00.000Z;79809635;16570075;11857184
2017-04-30T20:32:00.000Z;58130976;12258239;6742845
2017-04-30T20:33:00.000Z;56242906;13633458;9478044
2017-04-30T20:34:00.000Z;44544813;15985049;11733078
2017-04-30T20:35:00.000Z;45009134;15150241;9738933
2017-04-30T20:36:00.000Z;36350895;14883061;10577990
2017-04-30T20:37:00.000Z;41924549;16609499;12011238
2017-04-30T20:38:00.000Z;34690371;15215029;9790344
2017-04-30T20:39:00.000Z;36939536;15687884;11375587
2017-04-30T20:40:00.000Z;38973863;16585891;11993031
2017-04-30T20:41:00.000Z;38835703;15460395;9970691
2017-04-30T20:42:00.000Z;40587702;16488623;11894090
2017-04-30T20:43:00.000Z;44915521;17017824;12452028
2017-04-30T20:44:00.000Z;43848924;16421123;11171454
2017-04-30T20:45:00.000Z;52613003;17732870;12889723
2017-04-30T20:46:00.000Z;68024847;18782369;13862141
2017-04-30T20:47:00.000Z;76175270;18245363;12531698
2017-04-30T20:48:00.000Z;72239267;19554253;13579578
2017-04-30T20:49:00.000Z;75681850;19850566;13749352
2017-04-30T20:50:00.000Z;89254907;20763831;13874444
2017-04-30T20:51:00.000Z;103877417;22900996;15175668
2017-04-30T20:52:00.000Z;106062194;24939755;16561874
2017-04-30T20:53:00.000Z;146956301;31452387;17731153
2017-04-30T20:54:00.000Z;190319919;46542110;21540373
2017-04-30T20:55:00.000Z;196603168;69291973;28164094
2017-04-30T20:56:00.000Z;189294784;65936568;26324705
2017-04-30T20:57:00.000Z;210539288;76442819;30096189
2017-04-30T20:58:00.000Z;201001225;72758700;29746249
2017-04-30T20:59:00.000Z;214504587;83349642;38952021
2017-04-30T21:00:00.000Z;95319245;7786692;6766082
2017-04-30T21:01:00.000Z;90560885;10585834;7827831
2017-04-30T21:02:00.000Z;83597739;14067293;12358375
2017-04-30T21:03:00.000Z;100520139;18424442;13359704
2017-04-30T21:04:00.000Z;97228210;17334697;11578570
2017-04-30T21:05:00.000Z;100916441;15083150;10443655
2017-04-30T21:06:00.000Z;87022429;19899978;14341472
2017-04-30T21:07:00.000Z;80835866;15983128;8834293
2017-04-30T21:08:00.000Z;96374636;18699423;11512506
2017-04-30T21:09:00.000Z;102232044;21389953;11498820
2017-04-30T21:10:00.000Z;84328978;13305159;8344383
2017-04-30T21:11:00.000Z;90375283;14380778;10248809
2017-04-30T21:12:00.000Z;89866737;14127192;8563358
2017-04-30T21:13:00.000Z;66805276;12437558;7260254
2017-04-30T21:14:00.000Z;85784722;15478497;10872634
2017-04-30T21:15:00.000Z;82537361;16508186;10558813
2017-04-30T21:16:00.000Z;52314153;12864899;7796266
2017-04-30T21:17:00.000Z;57544749;14597530;10622247
2017-04-30T21:18:00.000Z;49578348;14849537;10470785
